Course Title,Author,Origin,Completed,Hours,Minutes,Completed
Modern Web Layout with Flexbox and CSS Grid, by Brian Treese,https://www.pluralsight.com,04/16/2020,1,14,100
CSS Flexbox Fundamentals,by Gary Simon,https://www.pluralsight.com,04/12/2020,1,28,100
Building Layouts with the CSS Grid,by Gary Simon,https://www.pluralsight.com,04/27/2020,1,16,100
CSS: Using Flexbox for Layout, by Dan Denney,https://www.pluralsight.com,12/29/2020,1,40,100
Creating Responsive Pages with CSS FlexBox,by Jeff Batt,https://www.pluralsight.com,12/29/2020,1,21,100
Getting Started with Reactive Programming Using RxJS,by Scott Allen,https://www.pluralsight.com,1/26/2021,1,52,100
RxJS Patterns in Angular,by ng-conf,https://www.pluralsight.com,1/26/2021,0,19,100
What's New in Angular v11,by ng-conf,https://www.pluralsight.com,1/26/2021,0,4,100
A Whole New Way to Build Ivy Apps,by ng-conf,https://www.pluralsight.com,1/26/2021,0,9,100
Modern Web Layout with Flexbox and CSS Grid,by Brian Treese,https://www.pluralsight.com,2/21/2021,1,14,100
A Better CSS: LESS and SASS,by Shawn Wildermuth,https://www.pluralsight.com,2/21/2021,1,56,100
Introduction to CSS,by Scott Allen,https://www.pluralsight.com,2/22/2021,2,29,100
Creating Layouts with CSS Grid,by Matt Henry,https://www.pluralsight.com,2/23/2021,1,42,100
HTML Fundamentals,by Matt Milner,https://www.pluralsight.com,2/25/2021,2,20,100
Structuring Angular Applications with Angular Libraries,by Fabian Gosebrink,https://www.pluralsight.com,4/016/2021,2,3,100
HTML5 Fundamentals,by Craig Shoemaker,https://www.pluralsight.com,4/08/2021,3,47,100
Introduction to OAuth2 OpenID Connect and JSON Web Tokens (JWT),by Dominick Baier,https://www.pluralsight.com,4/27/2021,2,23,100
SOLID Principles for C# Developers,by Steve Smith,https://www.pluralsight.com,6/13/2021,2,8,100
Getting Started with Git,by Aaron Stewart,https://www.pluralsight.com,6/18/2021,2,2,100
Working with Git Branches,by Craig Golightly,https://www.pluralsight.com,6/18/2021,1,18,100
React Native: The Big Picture,by Adhithi Ravichandran,https://www.pluralsight.com,7/24/2021,1,3,100
Understanding the Java Virtual Machine: Memory Management,by Kevin Jones,https://www.pluralsight.com,7/25/2021,1,38,100
SOLID Software Design Principles in Java,by Dan Geabunea,https://www.pluralsight.com,7/25/2021,2,0,100
How Git Works,by Paolo Perrotta,https://www.pluralsight.com,7/25/2021,1,56,100
Mastering Git,by Paolo Perrotta,https://www.pluralsight.com,8/01/2021,3,2,100
Firebase Firestore: Getting Started,by Ervis Trupja,https://www.pluralsight.com,8/29/2021,1,24,100
Workshop: Reactive Angular Part 1,by ng-conf,https://www.pluralsight.com,8/29/2021,1,56,100
Learning RxJS Operators by Example Playbook,by David Mann,https://www.pluralsight.com,8/30/2021,3,48,100
Angular Fundamentals,by Jim Cooper and Joe Eames,https://www.pluralsight.com,9/21/2021,9,47,100
Serilog Enrichers: Getting Common Information into Log Entries,by Erik Dahl,https://www.pluralsight.com,10/18/2021,0,33,100
Angular Patterns & Best Practices,by John Papa,https://www.pluralsight.com,11/06/2021,1,5,100
Angular Performance,by ng-conf,https://www.pluralsight.com,11/09/2021,0,19,100
Fundamentals of Object Oriented Programming in Java,by Maurice Naftalin,https://www.pluralsight.com,12/01/2021,2,5,100
Angular: Getting Started,by Deborah Kurata,https://www.pluralsight.com,11/30/2021,5,52,100
RxJS in Angular: Reactive Development,by Deborah Kurata,https://www.pluralsight.com,11/26/2021,3,48,100
JavaScript Objects Prototypes and Classes,by Jim Cooper,https://www.pluralsight.com,11/14/2021,1,48,100
Angular Performance in the Enterprise,by ng-conf,https://www.pluralsight.com,11/08/2021,0,19,100
Serilog Enrichers: Getting Common Information into Log Entries,by Erik Dahl,https://www.pluralsight.com,10/18/2021,0,33,100
The Best 20 Minute Angular & Firebase Video You'll Ever See,by ng-conf,https://www.pluralsight.com,09/26/2021,0,21,100
Introduction to CSS,by Scott Allen,https://www.pluralsight.com,12/01/2021,2,26,100
Angular Fundamentals,by Jim Cooper and Joe Eames,https://www.pluralsight.com,12/09/2021,2,26,100
HTML5 From Scratch,by Jesse Liberty,https://www.pluralsight.com,04/01/2022,1,36,35
CSS 3 From Scratch,by Jesse Liberty,https://www.pluralsight.com,04/01/2022,1,38,3
Building an API with ASP.NET Core,by Shawn Wildermuth,https://www.pluralsight.com,01/18/2022,2,34,55
Building Your First API with ASP.NET Core,by Kevin Dockx,https://www.pluralsight.com,01/18/2022,4,7,4
Angular Security Using .NET 5 and JSON Web Tokens,by Paul D. Sheriff,https://www.pluralsight.com,01/18/2022,2,10,85
Building an API with ASP.NET Web API.,by Shawn Wildermuth,https://www.pluralsight.com,01/17/2022,2,42,1
Applied Cryptography: Getting Started,by Edward Curren,https://www.pluralsight.com,01/16/2022,1,11,13
Securing Angular Apps with OpenID Connect and OAuth 2,by Brian Noyes,https://www.pluralsight.com,01/16/2022,3,11,39
Java Fundamentals: The Core Platform,by Jim Wilson,https://www.pluralsight.com,01/16/2022,7,25,70
Unit Testing in Angular,by Joe Eames,https://www.pluralsight.com,01/19/2022,3,27,4
Creating Page Layouts with CSS,by Paul Cheney,https://www.pluralsight.com,12/05/2021,2,15,8
ASP.NET Core Fundamentals,by Scott Allen,https://www.pluralsight.com,11/14/2021,5,45,4
A Practical Start with React,by Roland Guijt,https://www.pluralsight.com,11/11/2021,1,49,4
Styling Applications with Angular Material,by Ajden Towfeek,https://www.pluralsight.com,02/11/2021,3,14,4
Using Redux to Manage State in Angular,by Hendrik Swanepoel,https://www.pluralsight.com,10/19/2020,1,2,43
Practical Design Patterns in JavaScript,by Jonathan Mills,https://www.pluralsight.com,06/29/2019,3,10,3
Java Fundamentals: The Java Language,by Jim Wilson,https://www.pluralsight.com,05/11/2020,7,42,1
C# Tips and Traps,by Jason Roberts,https://www.pluralsight.com,05/04/2019,3,57,4
Building a Responsive SPA Framework with Angular,by Mark Zamoyta,https://www.pluralsight.com,02/08/2019,5,10,16
Angular CLI,by John Papa,https://www.pluralsight.com,07/16/2018,3,08,9
Angular Forms,by Mark Zamoyta,https://www.pluralsight.com,02/11/2019,2,39,4
Hands-on Responsive Web Design 1: Media Queries & CSS Preprocessing,by Paul Cheney,https://www.pluralsight.com,02/17/2018,1,47,1
Using ES6 with TypeScript,by Steve Ognibene,https://www.pluralsight.com,05/06/2017,2,15,1
TypeScript In-depth,by Brice Wilson,https://www.pluralsight.com,05/07/2017,4,40,11
Advanced TypeScript,by Brice Wilson,https://www.pluralsight.com,05/06/2017,2,55,1 
Redux Fundamentals,Jamis Charles,https://www.pluralsight.com,null,3,26,0
